nohup: ignoring input
Escuchando en 0.0.0.0:6100...
Tablas 'mediciones' y 'mediciones2' verificadas o creadas exitosamente.
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999328","longitude":"-74.932102","timestamp":1732201958762,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999328, Longitud: -74.932102, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:38
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999276","longitude":"-74.932383","timestamp":1732201959765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999276, Longitud: -74.932383, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:39
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999226","longitude":"-74.932663","timestamp":1732201960765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999226, Longitud: -74.932663, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:40
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999176","longitude":"-74.932942","timestamp":1732201961764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999176, Longitud: -74.932942, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:41
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999126","longitude":"-74.933223","timestamp":1732201962758,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999126, Longitud: -74.933223, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:42
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999076","longitude":"-74.933505","timestamp":1732201963765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999076, Longitud: -74.933505, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:43
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.999026","longitude":"-74.933786","timestamp":1732201964764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.999026, Longitud: -74.933786, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:44
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998976","longitude":"-74.934065","timestamp":1732201965764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998976, Longitud: -74.934065, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:45
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998926","longitude":"-74.934347","timestamp":1732201966765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998926, Longitud: -74.934347, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:46
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998877","longitude":"-74.934626","timestamp":1732201967763,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998877, Longitud: -74.934626, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:47
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998827","longitude":"-74.934906","timestamp":1732201968763,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998827, Longitud: -74.934906, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:48
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998772","longitude":"-74.935188","timestamp":1732201969771,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998772, Longitud: -74.935188, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:49
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998716","longitude":"-74.935464","timestamp":1732201970764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998716, Longitud: -74.935464, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:50
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998660","longitude":"-74.935743","timestamp":1732201971764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998660, Longitud: -74.935743, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:51
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998604","longitude":"-74.936023","timestamp":1732201972761,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998604, Longitud: -74.936023, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:52
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998547","longitude":"-74.936303","timestamp":1732201973766,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998547, Longitud: -74.936303, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:53
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998492","longitude":"-74.936581","timestamp":1732201974763,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998492, Longitud: -74.936581, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:54
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998436","longitude":"-74.936861","timestamp":1732201975765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998436, Longitud: -74.936861, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:55
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998381","longitude":"-74.937139","timestamp":1732201976761,"speed":0,"rpm":0}
